index,编号,股东名称,持股数量,持股比例,股本性质,截至日期,公告日期,股东说明,股东总数,平均持股数
0,1,HKSC CNOMINEES LIMITED,3681393469.0,40.38,流通H股,2025-12-31,2026-03-28,,685147.0,13306.0
1,2,王传福,1540871550.0,16.9,"流通A股,限售流通股",2025-12-31,2026-03-28,,685147.0,13306.0
2,3,吕向阳,717685860.0,7.87,"流通A股,限售流通股",2025-12-31,2026-03-28,,685147.0,13306.0
3,4,融捷投资控股集团有限公司,465448806.0,5.11,流通A股,2025-12-31,2026-03-28,,685147.0,13306.0
4,5,夏佐全,247906821.0,2.72,"流通A股,限售流通股",2025-12-31,2026-03-28,,685147.0,13306.0
5,6,香港中央结算有限公司,,2.38,流通A股,2025-12-31,2026-03-28,,685147.0,13306.0
6,7,王念强,54899220.0,0.6,流通A股,2025-12-31,2026-03-28,,685147.0,13306.0
7,8,张炜,,,流通A股,2025-12-31,2026-03-28,,685147.0,13306.0
8,9,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,,0.49,流通A股,2025-12-31,2026-03-28,,685147.0,13306.0
9,10,全国社保基金一一四组合,,,流通A股,2025-12-31,2026-03-28,,685147.0,13306.0
10,1,HKSCC NOMINEES LIMITED,3681484673.0,40.38,流通H股,2025-09-30,2025-10-31,,642600.0,14188.0
11,2,王传福,1540871550.0,16.9,"流通A股,限售流通股",2025-09-30,2025-10-31,,642600.0,14188.0
12,3,吕向阳,717685860.0,7.87,"流通A股,限售流通股",2025-09-30,2025-10-31,,642600.0,14188.0
13,4,融捷投资控股集团有限公司,465448806.0,5.11,流通A股,2025-09-30,2025-10-31,,642600.0,14188.0
14,5,香港中央结算有限公司,265267020.0,2.91,流通A股,2025-09-30,2025-10-31,,642600.0,14188.0
15,6,夏佐全,247906821.0,2.72,"流通A股,限售流通股",2025-09-30,2025-10-31,,642600.0,14188.0
16,7,王念强,54899220.0,0.6,流通A股,2025-09-30,2025-10-31,,642600.0,14188.0
17,8,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,46303962.0,0.51,流通A股,2025-09-30,2025-10-31,,642600.0,14188.0
18,9,张炜,39999900.0,0.44,流通A股,2025-09-30,2025-10-31,,642600.0,14188.0
19,10,全国社保基金一一四组合,36964544.0,0.41,流通A股,2025-09-30,2025-10-31,,642600.0,14188.0
20,1,HKSCC NOMINEES LIMITED,1227164245.0,40.38,流通H股,2025-06-30,2025-08-30,,323939.0,9382.0
21,2,王传福,513623850.0,16.9,"流通A股,限售流通股",2025-06-30,2025-08-30,,323939.0,9382.0
22,3,吕向阳,239228620.0,7.87,"流通A股,限售流通股",2025-06-30,2025-08-30,,323939.0,9382.0
23,4,融捷投资控股集团有限公司,155149602.0,5.11,流通A股,2025-06-30,2025-08-30,,323939.0,9382.0
24,5,香港中央结算有限公司,128002614.0,4.21,流通A股,2025-06-30,2025-08-30,,323939.0,9382.0
25,6,夏佐全,82635607.0,2.72,"流通A股,限售流通股",2025-06-30,2025-08-30,,323939.0,9382.0
26,7,王念强,18299740.0,0.6,流通A股,2025-06-30,2025-08-30,,323939.0,9382.0
27,8,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,16058154.0,0.53,流通A股,2025-06-30,2025-08-30,,323939.0,9382.0
28,9,中央汇金资产管理有限责任公司,11976633.0,0.39,流通A股,2025-06-30,2025-08-30,,323939.0,9382.0
29,10,中国建设银行股份有限公司－易方达沪深300交易型开放式指数发起式证券投资基金,11489439.0,0.38,流通A股,2025-06-30,2025-08-30,,323939.0,9382.0
30,1,HKSCC NOMINEES LIMITED,1227261708.0,40.38,流通H股,2025-03-31,2025-04-26,,203708.0,14920.0
31,2,王传福,513623850.0,16.9,"流通A股,限售流通股",2025-03-31,2025-04-26,,203708.0,14920.0
32,3,吕向阳,239228620.0,7.87,"流通A股,限售流通股",2025-03-31,2025-04-26,,203708.0,14920.0
33,4,融捷投资控股集团有限公司,155149602.0,5.11,流通A股,2025-03-31,2025-04-26,,203708.0,14920.0
34,5,香港中央结算有限公司,125417624.0,4.13,流通A股,2025-03-31,2025-04-26,,203708.0,14920.0
35,6,夏佐全,82635607.0,2.72,"流通A股,限售流通股",2025-03-31,2025-04-26,,203708.0,14920.0
36,7,王念强,18299740.0,0.6,流通A股,2025-03-31,2025-04-26,,203708.0,14920.0
37,8,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,14785435.0,0.49,流通A股,2025-03-31,2025-04-26,,203708.0,14920.0
38,9,中央汇金资产管理有限责任公司,11976633.0,0.39,流通A股,2025-03-31,2025-04-26,,203708.0,14920.0
39,10,李柯,10861400.0,0.36,"流通A股,限售流通股",2025-03-31,2025-04-26,,203708.0,14920.0
40,1,HKSCC NOMINEES LIMITED,1097459799.0,37.72,流通H股,2024-12-31,2025-03-25,,271334.0,10723.0
41,2,王传福,513623850.0,17.65,"流通A股,限售流通股",2024-12-31,2025-03-25,,271334.0,10723.0
42,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2024-12-31,2025-03-25,,271334.0,10723.0
43,4,融捷投资控股集团有限公司,155149602.0,5.33,流通A股,2024-12-31,2025-03-25,,271334.0,10723.0
44,5,香港中央结算有限公司,95942676.0,3.3,流通A股,2024-12-31,2025-03-25,,271334.0,10723.0
45,6,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2024-12-31,2025-03-25,,271334.0,10723.0
46,7,王念强,18299740.0,0.63,流通A股,2024-12-31,2025-03-25,,271334.0,10723.0
47,8,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,15567982.0,0.54,流通A股,2024-12-31,2025-03-25,,271334.0,10723.0
48,9,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2024-12-31,2025-03-25,,271334.0,10723.0
49,10,全国社保基金一一四组合,11102472.0,0.38,流通A股,2024-12-31,2025-03-25,,271334.0,10723.0
50,1,HKSCC NOMINEES LIMITED,1097453699.0,37.72,流通H股,2024-09-30,2024-10-31,,270381.0,10761.0
51,2,王传福,513623850.0,17.65,"流通A股,限售流通股",2024-09-30,2024-10-31,,270381.0,10761.0
52,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2024-09-30,2024-10-31,,270381.0,10761.0
53,4,融捷投资控股集团有限公司,155149602.0,5.33,流通A股,2024-09-30,2024-10-31,,270381.0,10761.0
54,5,香港中央结算有限公司,89015816.0,3.06,流通A股,2024-09-30,2024-10-31,,270381.0,10761.0
55,6,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2024-09-30,2024-10-31,,270381.0,10761.0
56,7,王念强,18299740.0,0.63,流通A股,2024-09-30,2024-10-31,,270381.0,10761.0
57,8,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,17680042.0,0.61,流通A股,2024-09-30,2024-10-31,,270381.0,10761.0
58,9,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2024-09-30,2024-10-31,,270381.0,10761.0
59,10,中国建设银行股份有限公司－易方达沪深300交易型开放式指数发起式证券投资基金,11580239.0,0.4,流通A股,2024-09-30,2024-10-31,,270381.0,10761.0
60,1,HKSCC NOMINEES LIMITED,1097454709.0,37.72,流通H股,2024-06-30,2024-08-29,,300199.0,9692.0
61,2,王传福,513623850.0,17.65,"流通A股,限售流通股",2024-06-30,2024-08-29,,300199.0,9692.0
62,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2024-06-30,2024-08-29,,300199.0,9692.0
63,4,融捷投资控股集团有限公司,155149602.0,5.33,流通A股,2024-06-30,2024-08-29,,300199.0,9692.0
64,5,香港中央结算有限公司,83975846.0,2.89,流通A股,2024-06-30,2024-08-29,,300199.0,9692.0
65,6,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2024-06-30,2024-08-29,,300199.0,9692.0
66,7,王念强,18299740.0,0.63,流通A股,2024-06-30,2024-08-29,,300199.0,9692.0
67,8,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2024-06-30,2024-08-29,,300199.0,9692.0
68,9,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,10877920.0,0.37,流通A股,2024-06-30,2024-08-29,,300199.0,9692.0
69,10,李柯,10861400.0,0.37,"流通A股,限售流通股",2024-06-30,2024-08-29,,300199.0,9692.0
70,1,HKSCC NOMINEES LIMITED,1097461820.0,37.7,流通H股,2024-04-12,2024-04-16,,,
71,2,王传福,513623850.0,17.64,"流通A股,限售流通股",2024-04-12,2024-04-16,,,
72,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2024-04-12,2024-04-16,,,
73,4,融捷投资控股集团有限公司,155100802.0,5.33,流通A股,2024-04-12,2024-04-16,,,
74,5,香港中央结算有限公司,91695544.0,3.15,流通A股,2024-04-12,2024-04-16,,,
75,6,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2024-04-12,2024-04-16,,,
76,7,王念强,18299740.0,0.63,流通A股,2024-04-12,2024-04-16,,,
77,8,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2024-04-12,2024-04-16,,,
78,9,李柯,10861400.0,0.37,"流通A股,限售流通股",2024-04-12,2024-04-16,,,
79,10,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,9763020.0,0.34,流通A股,2024-04-12,2024-04-16,,,
80,1,HKSCC NOMINEES LIMITED,1097461820.0,37.7,流通H股,2024-03-31,2024-04-30,,361939.0,8043.0
81,2,王传福,513623850.0,17.64,"流通A股,限售流通股",2024-03-31,2024-04-30,,361939.0,8043.0
82,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2024-03-31,2024-04-30,,361939.0,8043.0
83,4,融捷投资控股集团有限公司,155072702.0,5.33,流通A股,2024-03-31,2024-04-30,,361939.0,8043.0
84,5,香港中央结算有限公司,95905999.0,3.29,流通A股,2024-03-31,2024-04-30,,361939.0,8043.0
85,6,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2024-03-31,2024-04-30,,361939.0,8043.0
86,7,王念强,18299740.0,0.63,流通A股,2024-03-31,2024-04-30,,361939.0,8043.0
87,8,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2024-03-31,2024-04-30,,361939.0,8043.0
88,9,李柯,10861400.0,0.37,"流通A股,限售流通股",2024-03-31,2024-04-30,,361939.0,8043.0
89,10,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,9799320.0,0.34,流通A股,2024-03-31,2024-04-30,,361939.0,8043.0
90,1,HKSCC NOMINEES LIMITED,1097460820.0,37.7,流通H股,2024-03-06,2024-03-09,,,
91,2,王传福,513623850.0,17.64,"流通A股,限售流通股",2024-03-06,2024-03-09,,,
92,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2024-03-06,2024-03-09,,,
93,4,融捷投资控股集团有限公司,154657202.0,5.31,流通A股,2024-03-06,2024-03-09,,,
94,5,香港中央结算有限公司,95259657.0,3.27,流通A股,2024-03-06,2024-03-09,,,
95,6,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2024-03-06,2024-03-09,,,
96,7,王念强,18299740.0,0.63,流通A股,2024-03-06,2024-03-09,,,
97,8,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2024-03-06,2024-03-09,,,
98,9,李柯,10861400.0,0.37,"流通A股,限售流通股",2024-03-06,2024-03-09,,,
99,10,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,9818420.0,0.34,流通A股,2024-03-06,2024-03-09,,,
100,1,HKSCC NOMINEES LIMITED,1097450820.0,37.7,流通H股,2023-12-31,2024-03-27,,378814.0,7685.0
101,2,王传福,513623850.0,17.64,"流通A股,限售流通股",2023-12-31,2024-03-27,,378814.0,7685.0
102,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2023-12-31,2024-03-27,,378814.0,7685.0
103,4,融捷投资控股集团有限公司,154177702.0,5.3,流通A股,2023-12-31,2024-03-27,,378814.0,7685.0
104,5,香港中央结算有限公司,103804874.0,3.57,流通A股,2023-12-31,2024-03-27,,378814.0,7685.0
105,6,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2023-12-31,2024-03-27,,378814.0,7685.0
106,7,王念强,18299740.0,0.63,流通A股,2023-12-31,2024-03-27,,378814.0,7685.0
107,8,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2023-12-31,2024-03-27,,378814.0,7685.0
108,9,李柯,10861400.0,0.37,"流通A股,限售流通股",2023-12-31,2024-03-27,,378814.0,7685.0
109,10,中信里昂资产管理有限公司-客户资金-人民币资金汇入,10122370.0,0.35,流通A股,2023-12-31,2024-03-27,,378814.0,7685.0
110,1,HKSCC NOMINEES LIMITED,1097448246.0,37.7,流通H股,2023-09-30,2023-10-31,,358573.0,8118.0
111,2,王传福,513623850.0,17.64,"流通A股,限售流通股",2023-09-30,2023-10-31,,358573.0,8118.0
112,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2023-09-30,2023-10-31,,358573.0,8118.0
113,4,融捷投资控股集团有限公司,155149602.0,5.33,流通A股,2023-09-30,2023-10-31,,358573.0,8118.0
114,5,香港中央结算有限公司,97770223.0,3.36,流通A股,2023-09-30,2023-10-31,,358573.0,8118.0
115,6,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2023-09-30,2023-10-31,,358573.0,8118.0
116,7,王念强,18299740.0,0.63,流通A股,2023-09-30,2023-10-31,,358573.0,8118.0
117,8,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2023-09-30,2023-10-31,,358573.0,8118.0
118,9,李柯,10861400.0,0.37,"流通A股,限售流通股",2023-09-30,2023-10-31,,358573.0,8118.0
119,10,王传方,8824680.0,0.3,流通A股,2023-09-30,2023-10-31,,358573.0,8118.0
120,1,HKSCC NOMINEES LIMITED,1097440251.0,37.7,流通H股,2023-06-30,2023-08-29,,331551.0,8780.0
121,2,王传福,513623850.0,17.64,"流通A股,限售流通股",2023-06-30,2023-08-29,,331551.0,8780.0
122,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2023-06-30,2023-08-29,,331551.0,8780.0
123,4,融捷投资控股集团有限公司,155149602.0,5.33,流通A股,2023-06-30,2023-08-29,,331551.0,8780.0
124,5,香港中央结算有限公司,82919762.0,2.85,流通A股,2023-06-30,2023-08-29,,331551.0,8780.0
125,6,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2023-06-30,2023-08-29,,331551.0,8780.0
126,7,王念强,18299740.0,0.63,流通A股,2023-06-30,2023-08-29,,331551.0,8780.0
127,8,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2023-06-30,2023-08-29,,331551.0,8780.0
128,9,李柯,10861400.0,0.37,"流通A股,限售流通股",2023-06-30,2023-08-29,,331551.0,8780.0
129,10,王传方,8824680.0,0.3,"流通A股,限售流通股",2023-06-30,2023-08-29,,331551.0,8780.0
130,1,HKSCC NOMINEES LIMITED,1097438757.0,37.7,流通H股,2023-03-31,2023-04-28,,419978.0,6931.0
131,2,王传福,513623850.0,17.64,"流通A股,限售流通股",2023-03-31,2023-04-28,,419978.0,6931.0
132,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2023-03-31,2023-04-28,,419978.0,6931.0
133,4,融捷投资控股集团有限公司,155149602.0,5.33,流通A股,2023-03-31,2023-04-28,,419978.0,6931.0
134,5,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2023-03-31,2023-04-28,,419978.0,6931.0
135,6,香港中央结算有限公司,77405607.0,2.66,流通A股,2023-03-31,2023-04-28,,419978.0,6931.0
136,7,王念强,18299740.0,0.63,流通A股,2023-03-31,2023-04-28,,419978.0,6931.0
137,8,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2023-03-31,2023-04-28,,419978.0,6931.0
138,9,李柯,10861400.0,0.37,"流通A股,限售流通股",2023-03-31,2023-04-28,,419978.0,6931.0
139,10,王传方,8824680.0,0.3,"流通A股,限售流通股",2023-03-31,2023-04-28,,419978.0,6931.0
140,1,HKSCC NOMINEES LIMITED,1097455257.0,37.7,流通H股,2022-12-31,2023-03-29,,324223.0,8978.0
141,2,王传福,513623850.0,17.64,"流通A股,限售流通股",2022-12-31,2023-03-29,,324223.0,8978.0
142,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2022-12-31,2023-03-29,,324223.0,8978.0
143,4,融捷投资控股集团有限公司,155149602.0,5.33,流通A股,2022-12-31,2023-03-29,,324223.0,8978.0
144,5,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2022-12-31,2023-03-29,,324223.0,8978.0
145,6,香港中央结算有限公司,70775671.0,2.43,流通A股,2022-12-31,2023-03-29,,324223.0,8978.0
146,7,王念强,18299740.0,0.63,流通A股,2022-12-31,2023-03-29,,324223.0,8978.0
147,8,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2022-12-31,2023-03-29,,324223.0,8978.0
148,9,李柯,10921400.0,0.38,"流通A股,限售流通股",2022-12-31,2023-03-29,,324223.0,8978.0
149,10,王传方,8824680.0,0.3,"流通A股,限售流通股",2022-12-31,2023-03-29,,324223.0,8978.0
150,1,HKSCC NOMINEES LIMITED,1097450757.0,37.7,流通H股,2022-09-30,2022-10-29,,324853.0,8961.0
151,2,王传福,513623850.0,17.64,"流通A股,限售流通股",2022-09-30,2022-10-29,,324853.0,8961.0
152,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2022-09-30,2022-10-29,,324853.0,8961.0
153,4,融捷投资控股集团有限公司,154426602.0,5.3,流通A股,2022-09-30,2022-10-29,,324853.0,8961.0
154,5,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2022-09-30,2022-10-29,,324853.0,8961.0
155,6,香港中央结算有限公司,71116231.0,2.44,流通A股,2022-09-30,2022-10-29,,324853.0,8961.0
156,7,王念强,18299740.0,0.63,流通A股,2022-09-30,2022-10-29,,324853.0,8961.0
157,8,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2022-09-30,2022-10-29,,324853.0,8961.0
158,9,李柯,10921400.0,0.38,"流通A股,限售流通股",2022-09-30,2022-10-29,,324853.0,8961.0
159,10,王传方,8824680.0,0.3,"流通A股,限售流通股",2022-09-30,2022-10-29,,324853.0,8961.0
160,1,HKSCC NOMINEES LIMITED,872390757.0,29.97,流通H股,2022-06-30,2022-08-30,,294289.0,9891.0
161,2,王传福,513623850.0,17.64,"流通A股,限售流通股",2022-06-30,2022-08-30,,294289.0,9891.0
162,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2022-06-30,2022-08-30,,294289.0,9891.0
163,4,WESTERN CAPITAL GROUP LLC,225000000.0,7.73,流通H股,2022-06-30,2022-08-30,,294289.0,9891.0
164,5,融捷投资控股集团有限公司,154000302.0,5.29,流通A股,2022-06-30,2022-08-30,,294289.0,9891.0
165,6,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2022-06-30,2022-08-30,,294289.0,9891.0
166,7,香港中央结算有限公司,70870656.0,2.43,流通A股,2022-06-30,2022-08-30,,294289.0,9891.0
167,8,王念强,18299740.0,0.63,流通A股,2022-06-30,2022-08-30,,294289.0,9891.0
168,9,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2022-06-30,2022-08-30,,294289.0,9891.0
169,10,李柯,10921400.0,0.38,"流通A股,限售流通股",2022-06-30,2022-08-30,,294289.0,9891.0
170,1,HKSCC NOMINEES LIMITED,872395164.0,29.97,流通H股,2022-05-20,2022-05-24,,,
171,2,王传福,513623850.0,17.64,"流通A股,限售流通股",2022-05-20,2022-05-24,,,
172,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2022-05-20,2022-05-24,,,
173,4,WESTERN CAPITAL GROUP LLC,225000000.0,7.73,流通H股,2022-05-20,2022-05-24,,,
174,5,融捷投资控股集团有限公司,154110702.0,5.29,流通A股,2022-05-20,2022-05-24,,,
175,6,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2022-05-20,2022-05-24,,,
176,7,香港中央结算有限公司,69589294.0,2.39,流通A股,2022-05-20,2022-05-24,,,
177,8,王念强,18299740.0,0.63,流通A股,2022-05-20,2022-05-24,,,
178,9,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2022-05-20,2022-05-24,,,
179,10,李柯,10921400.0,0.38,"流通A股,限售流通股",2022-05-20,2022-05-24,,,
180,1,HKSCC NOMINEES LIMITED,872399247.0,29.97,流通H股,2022-04-22,2022-04-29,,,
181,2,王传福,513623850.0,17.64,"流通A股,限售流通股",2022-04-22,2022-04-29,,,
182,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2022-04-22,2022-04-29,,,
183,4,WESTERN CAPITAL GROUP LLC,225000000.0,7.73,流通H股,2022-04-22,2022-04-29,,,
184,5,融捷投资控股集团有限公司,154986202.0,5.32,流通A股,2022-04-22,2022-04-29,,,
185,6,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2022-04-22,2022-04-29,,,
186,7,香港中央结算有限公司,63085663.0,2.17,流通A股,2022-04-22,2022-04-29,,,
187,8,王念强,18299740.0,0.63,流通A股,2022-04-22,2022-04-29,,,
188,9,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2022-04-22,2022-04-29,,,
189,10,李柯,10921400.0,0.38,"流通A股,限售流通股",2022-04-22,2022-04-29,,,
190,1,HKSCC NOMINEES LIMITED,872397747.0,29.97,流通H股,2022-03-31,2022-04-28,,405607.0,7177.0
191,2,王传福,513623850.0,17.64,"流通A股,限售流通股",2022-03-31,2022-04-28,,405607.0,7177.0
192,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2022-03-31,2022-04-28,,405607.0,7177.0
193,4,WESTERN CAPITAL GROUP LLC,225000000.0,7.73,流通H股,2022-03-31,2022-04-28,,405607.0,7177.0
194,5,融捷投资控股集团有限公司,154976202.0,5.32,流通A股,2022-03-31,2022-04-28,,405607.0,7177.0
195,6,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2022-03-31,2022-04-28,,405607.0,7177.0
196,7,香港中央结算有限公司,63684000.0,2.19,流通A股,2022-03-31,2022-04-28,,405607.0,7177.0
197,8,王念强,18299740.0,0.63,流通A股,2022-03-31,2022-04-28,,405607.0,7177.0
198,9,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2022-03-31,2022-04-28,,405607.0,7177.0
199,10,李柯,10921400.0,0.38,"流通A股,限售流通股",2022-03-31,2022-04-28,,405607.0,7177.0
200,1,HKSCC NOMINEES LIMITED,872379247.0,29.97,流通H股,2021-12-31,2022-03-30,,357227.0,8148.0
201,2,王传福,513623850.0,17.64,"流通A股,限售流通股",2021-12-31,2022-03-30,,357227.0,8148.0
202,3,吕向阳,239228620.0,8.22,"流通A股,限售流通股",2021-12-31,2022-03-30,,357227.0,8148.0
203,4,Western Capital Group LLC,225000000.0,7.73,流通H股,2021-12-31,2022-03-30,,357227.0,8148.0
204,5,融捷投资控股集团有限公司,155149602.0,5.33,流通A股,2021-12-31,2022-03-30,,357227.0,8148.0
205,6,夏佐全,82635607.0,2.84,"流通A股,限售流通股",2021-12-31,2022-03-30,,357227.0,8148.0
206,7,香港中央结算有限公司,71884968.0,2.47,流通A股,2021-12-31,2022-03-30,,357227.0,8148.0
207,8,王念强,18299740.0,0.63,流通A股,2021-12-31,2022-03-30,,357227.0,8148.0
208,9,中央汇金资产管理有限责任公司,11976633.0,0.41,流通A股,2021-12-31,2022-03-30,,357227.0,8148.0
209,10,李柯,10921400.0,0.38,"流通A股,限售流通股",2021-12-31,2022-03-30,,357227.0,8148.0
210,1,HKSCC NOMINEES LIMITED,822377147.0,28.74,流通H股,2021-09-30,2021-10-29,,360177.0,7945.0
211,2,王传福,513623850.0,17.95,"流通A股,限售流通股",2021-09-30,2021-10-29,,360177.0,7945.0
212,3,吕向阳,239228620.0,8.36,"流通A股,限售流通股",2021-09-30,2021-10-29,,360177.0,7945.0
213,4,BERKSHIRE HATHAWAY ENERGY(原名为MIDAMERICAN ENERGY HOLDINGS COMPANY),225000000.0,7.86,流通H股,2021-09-30,2021-10-29,,360177.0,7945.0
214,5,融捷投资控股集团有限公司,155149602.0,5.42,流通A股,2021-09-30,2021-10-29,,360177.0,7945.0
215,6,夏佐全,84929660.0,2.97,"流通A股,限售流通股",2021-09-30,2021-10-29,,360177.0,7945.0
216,7,香港中央结算有限公司,61505667.0,2.15,流通A股,2021-09-30,2021-10-29,,360177.0,7945.0
217,8,王念强,18299740.0,0.64,流通A股,2021-09-30,2021-10-29,,360177.0,7945.0
218,9,中央汇金资产管理有限责任公司,15380200.0,0.54,流通A股,2021-09-30,2021-10-29,,360177.0,7945.0
219,10,张炜,10999900.0,0.38,流通A股,2021-09-30,2021-10-29,,360177.0,7945.0
220,1,HKSCC NOMINEES LIMITED,822358436.0,28.74,流通H股,2021-06-30,2021-08-28,,426290.0,6712.0
221,2,王传福,513623850.0,17.95,"流通A股,限售流通股",2021-06-30,2021-08-28,,426290.0,6712.0
222,3,吕向阳,239228620.0,8.36,"流通A股,限售流通股",2021-06-30,2021-08-28,,426290.0,6712.0
223,4,BERKSHIRE HATHAWAY ENERGY(原名为MIDAMERICAN ENERGY HOLDINGS COMPANY),225000000.0,7.86,流通H股,2021-06-30,2021-08-28,,426290.0,6712.0
224,5,融捷投资控股集团有限公司,155149602.0,5.42,流通A股,2021-06-30,2021-08-28,,426290.0,6712.0
225,6,夏佐全,94577432.0,3.31,"流通A股,限售流通股",2021-06-30,2021-08-28,,426290.0,6712.0
226,7,香港中央结算有限公司,47574887.0,1.66,流通A股,2021-06-30,2021-08-28,,426290.0,6712.0
227,8,中央汇金资产管理有限责任公司,20873400.0,0.73,流通A股,2021-06-30,2021-08-28,,426290.0,6712.0
228,9,王念强,18299740.0,0.64,流通A股,2021-06-30,2021-08-28,,426290.0,6712.0
229,10,高华－汇丰－GOLDMAN SACHS&CO.LLC,11083000.0,0.39,流通A股,2021-06-30,2021-08-28,,426290.0,6712.0
230,1,HKSCC NOMINEES LIMITED,822352936.0,28.74,流通H股,2021-03-31,2021-04-29,,488306.0,5860.0
231,2,王传福,513623850.0,17.95,"流通A股,限售流通股",2021-03-31,2021-04-29,,488306.0,5860.0
232,3,吕向阳,239228620.0,8.36,"流通A股,限售流通股",2021-03-31,2021-04-29,,488306.0,5860.0
233,4,BERKSHIRE HATHAWAY ENERGY(原名为MIDAMERICAN ENERGY HOLDINGS COMPANY),225000000.0,7.86,流通H股,2021-03-31,2021-04-29,,488306.0,5860.0
234,5,融捷投资控股集团有限公司,155149602.0,5.42,流通A股,2021-03-31,2021-04-29,,488306.0,5860.0
235,6,夏佐全,94577432.0,3.31,"流通A股,限售流通股",2021-03-31,2021-04-29,,488306.0,5860.0
236,7,香港中央结算有限公司,63962550.0,2.24,流通A股,2021-03-31,2021-04-29,,488306.0,5860.0
237,8,中央汇金资产管理有限责任公司,20873400.0,0.73,流通A股,2021-03-31,2021-04-29,,488306.0,5860.0
238,9,王念强,18299740.0,0.64,流通A股,2021-03-31,2021-04-29,,488306.0,5860.0
239,10,高华－汇丰－GOLDMAN SACHS&CO.LLC,11083000.0,0.39,流通A股,2021-03-31,2021-04-29,,488306.0,5860.0
240,1,HKSCC NOMINEES LIMITED,689379831.0,25.27,流通H股,2020-12-31,2021-03-30,,255149.0,10692.0
241,2,王传福,513623850.0,18.83,"流通A股,限售流通股",2020-12-31,2021-03-30,,255149.0,10692.0
242,3,吕向阳,239228620.0,8.77,"流通A股,限售流通股",2020-12-31,2021-03-30,,255149.0,10692.0
243,4,BERKSHIRE HATHAWAY ENERGY(原名为MIDAMERICAN ENERGY HOLDINGS COMPANY),225000000.0,8.25,流通H股,2020-12-31,2021-03-30,,255149.0,10692.0
