报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2011-12-31,,14.82亿,52.32亿,37.61亿,14.81亿,14.38亿,,52.32亿,52.32亿,37.61亿,26.34亿,5190.93万,6.26亿,5.03亿,False,-7928.81万,False,False,2606.33万,False,False,152.13万,152.13万,False,False,14.72亿,2.61亿,False,582.63万,18.48万,17.27亿,2.45亿,14.82亿,False,14.81亿,147.00万,14.38亿,,0.74,0.74,55.00万,False,14.83亿,14.82亿,93.45万
2011-09-30,,8.72亿,34.53亿,24.71亿,8.69亿,8.59亿,,34.53亿,34.53亿,24.71亿,17.00亿,3368.84万,4.32亿,3.29亿,False,-5154.56万,False,False,2794.01万,False,False,152.13万,152.13万,False,False,9.84亿,3431.16万,False,375.00万,16.29万,10.15亿,1.42亿,8.72亿,False,8.69亿,312.90万,8.59亿,,0.43,0.43,184.79万,False,8.74亿,8.71亿,311.82万
2011-06-30,,5.30亿,20.82亿,15.06亿,5.27亿,5.19亿,,20.82亿,20.82亿,15.06亿,10.22亿,2093.84万,2.67亿,2.03亿,False,-3578.19万,False,False,2794.01万,False,False,152.13万,152.13万,False,False,5.78亿,3204.89万,False,219.68万,9.09万,6.08亿,7781.39万,5.30亿,False,5.27亿,251.02万,5.19亿,,0.26,0.26,162.54万,False,5.31亿,5.29亿,261.85万
2011-03-31,,2.61亿,9.30亿,6.51亿,2.61亿,2.56亿,,9.30亿,9.30亿,6.51亿,4.68亿,1033.59万,1.04亿,8334.07万,False,-1527.75万,False,False,False,False,False,152.13万,152.13万,False,False,2.81亿,2756.65万,False,93.95万,1.21万,3.07亿,4660.00万,2.61亿,False,2.61亿,9.22万,2.56亿,,0.26,0.26,40.91万,False,2.61亿,2.61亿,24.21万
2010-12-31,,10.52亿,36.05亿,26.23亿,10.52亿,10.31亿,,36.05亿,36.05亿,26.23亿,17.44亿,1029.35万,4.65亿,3.73亿,False,-1900.88万,False,False,4933.71万,False,False,334.47万,334.47万,False,False,9.86亿,1.61亿,False,408.20万,28.62万,11.43亿,9052.69万,10.52亿,False,10.52亿,57.09万,10.31亿,,1.10,1.10,75.72万,False,10.53亿,10.53亿,58.63万
2010-09-30,,6.57亿,23.93亿,17.01亿,6.55亿,6.48亿,,23.93亿,23.93亿,17.01亿,12.00亿,327.21万,2.74亿,2.09亿,False,-396.74万,False,False,1839.71万,False,False,-50.00万,-50.00万,False,False,6.92亿,6310.49万,False,267.25万,29.32万,7.52亿,9559.81万,6.57亿,False,6.55亿,124.45万,6.48亿,,0.69,0.69,113.08万,False,6.58亿,6.56亿,142.69万
2010-06-30,,3.74亿,14.02亿,10.20亿,3.74亿,3.70亿,,14.02亿,14.02亿,10.20亿,7.02亿,204.80万,1.67亿,1.33亿,False,-290.60万,False,False,1845.06万,False,False,-50.00万,-50.00万,False,False,3.81亿,4731.69万,False,167.20万,26.16万,4.27亿,5274.53万,3.74亿,False,3.74亿,49.61万,3.70亿,,0.82,0.82,81.37万,False,3.75亿,3.75亿,62.37万
2010-03-31,,2.05亿,6.87亿,4.72亿,2.05亿,2.03亿,,6.87亿,6.87亿,4.72亿,3.39亿,88.69万,7411.41万,5861.80万,False,-114.67万,False,False,45.49万,False,False,False,False,False,False,2.15亿,2552.39万,False,66.97万,False,2.40亿,3470.09万,2.05亿,False,2.05亿,40.00万,2.03亿,,0.46,0.46,64.23万,False,2.06亿,2.05亿,57.79万
2009-12-31,,7.06亿,21.02亿,14.42亿,7.06亿,6.91亿,,21.02亿,21.02亿,14.42亿,10.07亿,331.75万,2.27亿,2.01亿,False,-910.71万,False,False,1320.49万,False,False,-103.33万,-103.33万,False,False,6.58亿,1.11亿,False,341.75万,89.48万,7.66亿,6019.25万,7.06亿,False,7.06亿,44.24万,6.91亿,,1.57,1.57,52.65万,False,7.07亿,7.06亿,44.24万
2009-09-30,,4.75亿,14.37亿,9.74亿,4.75亿,False,,14.37亿,14.37亿,9.74亿,6.74亿,228.99万,1.57亿,1.33亿,False,-650.18万,False,False,1367.32万,False,False,-155.25万,-155.25万,False,False,4.62亿,7497.85万,False,181.62万,1.41万,5.35亿,5949.38万,4.75亿,False,4.75亿,29.38万,False,,1.06,1.06,-85.30万,False,4.74亿,4.74亿,-12.59万
2009-06-30,,2.47亿,8.37亿,5.91亿,2.47亿,2.41亿,,8.37亿,8.37亿,5.91亿,3.89亿,152.18万,1.05亿,8694.28万,False,-593.61万,False,False,1367.32万,False,False,-155.25万,-155.25万,False,False,2.45亿,5080.23万,False,80.84万,6800.00,2.95亿,4743.85万,2.47亿,False,2.47亿,-2.26万,2.41亿,,0.55,0.55,2.45万,False,2.47亿,2.47亿,-1.74万
2009-03-31,,1.36亿,4.03亿,2.71亿,1.36亿,1.34亿,,4.03亿,4.03亿,2.71亿,1.82亿,84.30万,4910.75万,4142.26万,False,-296.68万,False,False,2.70万,False,False,False,False,False,False,1.32亿,1632.51万,False,42.95万,False,1.48亿,1243.59万,1.36亿,False,1.36亿,False,1.34亿,,0.30,0.30,False,False,1.36亿,1.36亿,False
2008-12-31,,5.49亿,17.42亿,12.05亿,5.49亿,5.45亿,,17.42亿,17.42亿,12.05亿,8.57亿,316.35万,1.91亿,1.45亿,False,-550.09万,False,False,1429.51万,False,False,-240.92万,19.78万,False,False,5.35亿,7250.77万,False,292.17万,1.45万,6.05亿,5607.10万,5.49亿,False,5.49亿,-12.26万,5.45亿,,1.22,1.22,False,False,False,False,False
2007-12-31,,3.65亿,11.85亿,8.41亿,3.65亿,3.60亿,,11.85亿,11.85亿,8.41亿,6.10亿,127.26万,1.18亿,9704.06万,False,-320.80万,False,False,1900.05万,False,False,False,False,False,False,3.43亿,4844.21万,False,116.57万,1.68万,3.90亿,2587.08万,3.65亿,False,3.65亿,-4300.00,3.60亿,,False,False,False,False,False,False,False
2006-12-31,,2.05亿,7.02亿,5.08亿,2.07亿,False,,7.02亿,7.02亿,5.08亿,3.98亿,66.28万,4786.64万,5843.22万,False,-39.29万,False,False,340.35万,False,False,False,False,False,False,1.93亿,2588.57万,False,44.94万,9000.00,2.19亿,1353.74万,2.05亿,False,2.07亿,-143.30万,False,,False,False,False,False,False,False,False
